program_name,branch_coverage_seth,error_cover_seth,branch_coverage,error_cover,better_coverage,better_error
array-fpi/indp3f.c,87.50%,TRUE,87.50%,TRUE,,
bitvector/s3_clnt_2.BV.c.cil-2a.c,85.14%,TRUE,81.14%,UNKNOWN,classifier,classifier
eca-rers2012/Problem03_label09.c,46.96%,TRUE,46.96%,TRUE,,
eca-rers2012/Problem19_label14.c,49.51%,TRUE,48.82%,TRUE,classifier,
float-benchs/inv_Newton.c.p+cfa-reducer.c,60.00%,TRUE,20.00%,UNKNOWN,classifier,classifier
float-benchs/nan_double.c,50.00%,UNKNOWN,50.00%,UNKNOWN,,
float-newlib/double_req_bl_0870a.c,3.87%,UNKNOWN,4.42%,UNKNOWN,GA,
float-newlib/float_req_bl_0870a.c,5.26%,TRUE,5.26%,TRUE,,
floats-cdfpl/newton_3_6.i,100.00%,TRUE,100.00%,TRUE,,
floats-cdfpl/sine_3.i,80.00%,TRUE,100.00%,TRUE,GA,
ldv-regression/test22-3.c,90.00%,UNKNOWN,90.00%,UNKNOWN,,
list-ext-properties/list-ext.i,84.21%,TRUE,84.21%,TRUE,,
loop-invgen/id_trans.i,77.78%,TRUE,77.78%,TRUE,,
product-lines/email_spec1_product30.cil.c,30.28%,TRUE,30.28%,TRUE,,
product-lines/email_spec3_product13.cil.c,24.19%,TRUE,24.19%,TRUE,,
recursive/McCarthy91-1.c,100.00%,TRUE,100.00%,TRUE,,
seq-mthreaded/pals_opt-floodmax.3.4.ufo.BOUNDED-6.pals.c,7.00%,UNKNOWN,4.00%,UNKNOWN,classifier,
seq-mthreaded/pals_opt-floodmax.4.3.ufo.BOUNDED-8.pals.c,7.58%,UNKNOWN,7.58%,UNKNOWN,,
seq-pthread/cs_queue-2.i,41.35%,UNKNOWN,41.35%,UNKNOWN,,
verifythis/tree_max_incorrect.c,25.00%,UNKNOWN,25.00%,UNKNOWN,,
xcsp/aim-200-6-0-sat-3.c,100.00%,UNKNOWN,100.00%,UNKNOWN,,
xcsp/AllInterval-013.c,23.08%,UNKNOWN,19.23%,UNKNOWN,classifier,
